Word,Meaning
vigorous,"
----------adjective----------
Meaning: Strong, healthy, and full of energy.
Example: a tall, vigorous, and muscular man

(robust,healthy,in good health,hale and hearty,strong,strong as an horse,strong as an lion,strong as an ox,sturdy,fine,fit,in good condition,in tip-top condition,in good shape,in good trim,in good kilter,)
"
vigorously,"
----------adverb----------
Meaning: In a way that involves physical strength, effort, or energy; strenuously.
Example: she shook her head vigorously

(strenuously,with great vigour,strongly,powerfully,potently,forcefully,with force,forcibly,energetically,aggressively,heartily,eagerly,with eagerness,enthusiastically,with enthusiasm,with great effort,with all one's might,with might and main,with a will,for dear life,for all one is worth,to the best of one's abilities,as best one can,all out,with a vengeance,fiercely,intensely,hard,as hard as possible,as hard as one can,with all the stops out,like the devil,like the deuce,at full tilt,)
"
vilify,"
----------transitive verb----------
Meaning: Speak or write about in an abusively disparaging manner.
Example: he has been vilified in the press

(disparage,denigrate,defame,run down,revile,berate,belittle,abuse,insult,slight,attack,speak ill of,speak evil of,pour scorn on,cast aspersions on,criticize,censure,condemn,decry,denounce,pillory,lambast,)
"
vindictive,"
----------adjective----------
Meaning: Having or showing a strong or unreasoning desire for revenge.
Example: the criticism was both vindictive and personalized

(vengeful,out for revenge,revengeful,avenging,unforgiving,grudge-bearing,resentful,ill-disposed,implacable,unrelenting,acrimonious,bitter,)
"
vinegars,"
----------noun----------
Meaning: A sour-tasting liquid containing acetic acid, obtained by fermenting dilute alcoholic liquids, typically wine, cider, or beer, and used as a condiment or for pickling.
Example: In southern Europe wine vinegar is the norm, for example, while in northern Europe malt, cider, and distilled vinegars predominate, and in the Far East rice vinegar is most usual.

(marinade,brine,vinegar,)
"
violate,"
----------transitive verb----------
Meaning: Break or fail to comply with (a rule or formal agreement)
Example: they violated the terms of a ceasefire

(contravene,breach,commit a breach of,infringe,infract,break,transgress,overstep,not comply with,disobey,defy,flout,fly in the face of,rebel against,)
"
violence,"
----------noun----------
Meaning: Behavior involving physical force intended to hurt, damage, or kill someone or something.
Example: The most serious incidents include criminal damage and violence against people.

(brutality,brute force,roughness,ferocity,fierceness,savagery,cruelty,sadism,barbarity,barbarousness,brutishness,murderousness,bloodthirstiness,ruthlessness,inhumanity,heartlessness,pitilessness,mercilessness,)
"
virago,"
----------noun----------
Meaning: A domineering, violent, or bad-tempered woman.
Example: the campaigns of these indignant viragoes will come to naught

(harridan,shrew,dragon,termagant,vixen,)
"
virologist,
virtual,"
----------adjective----------
Meaning: Almost or nearly as described, but not completely or according to strict definition.
Example: the virtual absence of border controls

(effective,in effect,near,near enough,essential,practical,for all practical purposes,to all intents and purposes,in all but name,indirect,implied,implicit,unacknowledged,tacit,)
"
visceral,"
----------adjective----------
Meaning: Relating to the viscera.
Example: the visceral nervous system

(enteric,gastroenteric,duodenal,coeliac,gastric,ventral,stomach,abdominal,visceral,)
"
viscous,"
----------adjective----------
Meaning: Having a thick, sticky consistency between solid and liquid; having a high viscosity.
Example: viscous lava

(sticky,gummy,glue-like,gluey,adhesive,tacky,adhering,adherent,sticking,clinging,treacly,syrupy,)
"
visible,"
"
vision,"
----------noun----------
Meaning: The faculty or state of being able to see.
Example: she had defective vision

(eyesight,sight,power of sight,faculty of sight,ability to see,power of seeing,powers of observation,observation,perception,visual perception,)
----------noun----------
Meaning: The ability to think about or plan the future with imagination or wisdom.
Example: the organization had lost its vision and direction

(imagination,creativity,creative power,inventiveness,innovation,inspiration,intuition,perceptiveness,perception,breadth of view,foresight,insight,far-sightedness,prescience,discernment,awareness,penetration,shrewdness,sharpness,cleverness,)
----------noun----------
Meaning: An experience of seeing someone or something in a dream or trance, or as a supernatural apparition.
Example: the idea came to him in a vision

(apparition,spectre,phantom,hallucination,ghost,wraith,shadow,manifestation,chimera,illusion,mirage,image,)
----------noun----------
Meaning: A person or sight of unusual beauty.
Example: madame was a vision in black velvet

(beautiful sight,vision of loveliness,feast for the eyes,pleasure to behold,delight,dream,beauty,spectacle,picture,joy,marvel,sensation,)

"
visual,"
----------adjective----------
Meaning: Relating to seeing or sight.
Example: visual perception

(optical,seeing,optic,ocular,eye,)

"
vital,"
----------adjective----------
Meaning: Absolutely necessary or important; essential.
Example: secrecy is of vital importance

(essential,indispensable,crucial,key,necessary,needed,required,requisite,important,all-important,of the utmost importance,of great consequence,of the essence,critical,life-and-death,imperative,mandatory,urgent,pressing,burning,compelling,acute,paramount,pre-eminent,high-priority,significant,consequential,)
----------adjective----------
Meaning: Full of energy; lively.
Example: a beautiful, vital girl

(lively,energetic,active,sprightly,spry,animated,spirited,high-spirited,vivacious,exuberant,bouncy,enthusiastic,vibrant,zestful,sparkling,dynamic,vigorous,full of vim and vigour,forceful,fiery,lusty,hale and hearty,in fine fettle,)

"
vitally,"
"
vitamin,"
"
vitamins,"
----------noun----------
Meaning: Any of a group of organic compounds which are essential for normal growth and nutrition and are required in small quantities in the diet because they cannot be synthesized by the body.
"
vitiate,"
----------transitive verb----------
Meaning: Spoil or impair the quality or efficiency of.
Example: development programs have been vitiated by the rise in population

(ruin,wreck,destroy,upset,undo,mess up,make a mess of,dash,sabotage,scupper,scotch,torpedo,blast,vitiate,)
"
vituperate,"
----------transitive verb----------
Meaning: Blame or insult (someone) in strong or violent language.

(revile,rail against,inveigh against,fulminate against,attack,upbraid,berate,harangue,lambast,reprimand,castigate,chastise,rebuke,scold,chide,censure,condemn,damn,denounce,find fault with,run down,take to task,vilify,denigrate,calumniate,insult,abuse,curse,slander,smear,)
"
vivacious,"
----------adjective----------
Meaning: Attractively lively and animated (typically used of a woman)
Example: her vivacious and elegant mother

(lively,animated,full of life,spirited,high-spirited,effervescent,bubbling,bubbly,ebullient,buoyant,sparkling,scintillating,light-hearted,carefree,happy-go-lucky,jaunty,merry,happy,jolly,joyful,full of fun,full of the joys of spring,cheery,cheerful,perky,sunny,airy,breezy,bright,enthusiastic,irrepressible,vibrant,vivid,vital,zestful,energetic,dynamic,vigorous,full of vim and vigour,lusty,)
"
vivid,"
----------adjective----------
Meaning: Producing powerful feelings or strong, clear images in the mind.
Example: memories of that evening were still vivid

(graphic,evocative,realistic,true to life,lifelike,faithful,authentic,clear,crystal clear,detailed,lucid,striking,arresting,impressive,colourful,highly coloured,rich,dramatic,picturesque,lively,stimulating,interesting,fascinating,scintillating,)
----------adjective----------
Meaning: (of a color) intensely deep or bright.
Example: the rhododendron bush provides a vivid splash of mauve

(bright,bright-coloured,colourful,deep-coloured,brilliant,glowing,radiant,vibrant,strong,bold,deep,intense,rich,warm,flaming,flamboyant,glaring,eye-catching,)
----------adjective----------
Meaning: (of a person or animal) lively and vigorous.
Example: Fisk is a garlanded, dynamic, vivid reporter, one of the best in the world.

(dynamic,flamboyant,striking,strong,powerful,fiery,lively,animated,spirited,vibrant,vital,vigorous,energetic,vivacious,zestful,)
"
vixen,"
----------noun----------
Meaning: A spirited or fierce woman, especially one seen as sexually attractive.

(virago,harridan,shrew,dragon,termagant,cat,witch,hellcat,she-devil,tartar,martinet,spitfire,hag,gorgon,fury,ogress,harpy,nag,)
"
volatile,"
----------adjective----------
Meaning: (of a substance) easily evaporated at normal temperatures.
Example: volatile solvents such as petroleum ether, hexane, and benzene

(evaporative,vaporous,vaporescent,)
----------adjective----------
Meaning: Liable to change rapidly and unpredictably, especially for the worse.
Example: the political situation was becoming more volatile

(tense,strained,fraught,uneasy,uncomfortable,charged,explosive,eruptive,inflammatory,turbulent,in turmoil,full of upheavals,)

"
volcano,"
"
volubility,"
----------noun----------
Meaning: The quality of talking fluently, readily, or incessantly; talkativeness.
Example: her legendary volubility deserted her

(talkativeness,loquaciousness,loquacity,garrulousness,garrulity,verboseness,long-windedness,wordiness,chattiness,effusiveness,profuseness,communicativeness,expansiveness,openness,lack of reserve,)
"
voluble,"
----------adjective----------
Meaning: (of a person) talking fluently, readily, or incessantly.
Example: a voluble game-show host

(talkative,loquacious,garrulous,verbose,long-winded,wordy,chatty,chattery,gossipy,chattering,babbling,blathering,prattling,jabbering,effusive,gushing,forthcoming,conversational,communicative,expansive,open,unreserved,)
"
volume,"
----------noun----------
Meaning: The amount of space that a substance or object occupies, or that is enclosed within a container, especially when great.
Example: the sewer could not cope with the volume of rainwater

(capacity,cubic measure,size,magnitude,largeness,bigness,mass,bulk,extent,extensiveness,)
----------noun----------
Meaning: Quantity or power of sound; degree of loudness.
Example: he turned the volume up on the radio

(loudness,sound,amplification,)
"
voluntarily,"
"
voluntary,"
----------adjective----------
Meaning: Done, given, or acting of one's own free will.
Example: we are funded by voluntary contributions

(optional,discretionary,at one's discretion,elective,non-compulsory,non-mandatory,not required,open,open to choice,volitional,up to the individual,)

"
volunteer,"
----------noun----------
Meaning: A person who freely offers to take part in an enterprise or undertake a task.
Example: Last weekend volunteers undertook the painstaking task of cutting the grass around the base of each stone with scissors, in preparation for the restoration work.

(subject,participant,case,client,patient,)

"
vow,"
----------noun----------
Meaning: A solemn promise.
Example: Who would have guessed someone so young could make such a solemn vow and keep it for over fifty years.

(oath,pledge,promise,bond,covenant,commitment,avowal,profession,sworn statement,affirmation,attestation,assurance,word,word of honour,guarantee,)

----------verb----------
Meaning: Solemnly promise to do a specified thing.
Example: the rebels vowed to continue fighting

(swear,state under oath,swear under oath,swear on the Bible,take an oath,pledge,promise,affirm,avow,undertake,give an undertaking,engage,commit,commit oneself,make a commitment,give one's word,give one's word of honour,give an assurance,guarantee,)
"
vulnerable,"
----------adjective----------
Meaning: Susceptible to physical or emotional attack or harm.
Example: we were in a vulnerable position

(in danger,in peril,in jeopardy,at risk,endangered,unsafe,unprotected,ill-protected,unguarded,)
"
vulture,"
"
waded,"
----------verb----------
Meaning: Walk with effort through water or another liquid or viscous substance.
Example: he waded out to the boat

(paddle,wallow,dabble,slop,squelch,trudge,plod,)

----------noun----------
Meaning: An act of wading.
"
waffle,"
----------intransitive verb----------
Meaning: Speak or write, especially at great length, without saying anything important or useful.
Example: he waffled on about everything that didn't matter

(prattle,chatter,babble,ramble,jabber,gibber,gabble,gab,burble,run on,mutter,mumble,prate,drivel,bleat,cackle,)

----------noun----------
Meaning: Lengthy but trivial or useless talk or writing.
Example: Was all this vague new age waffle disguised as insight still managing to fool people?

(prattle,jabbering,verbiage,drivel,meaningless talk,nonsense,twaddle,gibberish,stuff and nonsense,bunkum,mumbo jumbo,padding,verbosity,prolixity,)
"
waft,"
----------verb----------
Meaning: Pass or cause to pass easily or gently through or as if through the air.
Example: the smell of stale fat wafted out from the cafe

(drift,float,glide,whirl,travel,be carried,be borne,be conveyed,be transported,)

----------noun----------
Meaning: A gentle movement of air.
Example: Thus even a not-entirely-great movie like City by the Sea feels like wafts of fresh air.

(current of air,rush of air,breath,whiff,waft,wind,breeze,gust,puff,blast,gale,)
"
wag,"

----------noun----------
Meaning: A single rapid movement from side to side.
Example: a chirpy wag of the head

(swing,sway,shake,swish,switch,quiver,twitch,flutter,waver,whip,oscillation,vibration,undulation,)
"
wage,"
----------noun----------
Meaning: A fixed regular payment earned for work or services, typically paid on a daily or weekly basis.
Example: we were struggling to get better wages

(pay,payment,remuneration,salary,emolument,stipend,fee,allowance,honorarium,)

----------verb----------
Meaning: Carry on (a war or campaign)
Example: it is necessary to destroy their capacity to wage war

(engage in,carry on,conduct,execute,pursue,undertake,prosecute,practise,proceed with,devote oneself to,go on with,)
"
waiver,"
----------noun----------
Meaning: An act or instance of waiving a right or claim.
Example: their acquiescence could amount to a waiver

(renunciation,surrender,repudiation,rejection,relinquishment,abdication,disavowal,refusal,disaffirmation,dispensation,abandonment,deferral,)
"
walnuts,"
----------noun----------
Meaning: The large wrinkled edible seed of a deciduous tree, consisting of two halves contained within a hard shell which is enclosed in a green fruit.
----------noun----------
Meaning: The tall tree which produces walnuts, with compound leaves and valuable ornamental timber that is used chiefly in cabinetmaking and gun stocks.
"
walrus,"
"
wander,"
----------intransitive verb----------
Meaning: Walk or move in a leisurely, casual, or aimless way.
Example: he wandered aimlessly through the narrow streets

(stroll,amble,saunter,walk,dawdle,potter,ramble,maunder,meander,)

----------noun----------
Meaning: An act or instance of wandering.
Example: she'd go on wanders like that in her nightgown

(stroll,amble,saunter,walk,roam,meander,dawdle,potter,ramble,)
"
warmonger,"
----------noun----------
Meaning: A person who encourages or advocates aggression towards other countries or groups.
Example: But it has only confirmed his role as a ‘yes man’ for the most right-wing government in US history and a warmonger in his own right.

(militarist,hawk,jingoist,sabre-rattler,aggressor,provoker,belligerent,)
"
warrant,"
----------noun----------
Meaning: A document issued by a legal or government official authorizing the police or some other body to make an arrest, search premises, or carry out some other action relating to the administration of justice.
Example: magistrates issued a warrant for his arrest

(authorization,written order,licence,permit,official document,)
----------noun----------
Meaning: Justification or authority for an action, belief, or feeling.
Example: there is no warrant for this assumption

(justification,grounds,cause,rationale,basis,assurance,)

----------transitive verb----------
Meaning: Justify or necessitate (a certain course of action)
Example: that offense is serious enough to warrant a court martial

(justify,vindicate,call for,sanction,validate,be a justification for,be a reason for,)
"
wash,"
----------verb----------
Meaning: Clean with water and, typically, soap or detergent.
Example: Auntie Lou had washed all their clothes

(clean,cleanse,sponge,scrub,wipe,scour,)
----------verb----------
Meaning: (of flowing water) carry (someone or something) in a particular direction.
Example: floods washed away the bridges

(sweep,carry,convey,transport,move,deliver,deposit,drive,)
----------verb----------
Meaning: Brush with a thin coat of dilute paint or ink.
Example: the walls were washed with shades of umber

(paint,colour,apply paint to,tint,highlight,shade,dye,stain,distemper,)
----------verb----------
Meaning: Seem convincing or genuine.

(be accepted,be acceptable,be plausible,be convincing,hold up,hold water,stand up,bear scrutiny,stand the test of time,be believable,be credible,pass muster,prove true,make sense,)

----------noun----------
Meaning: An act of washing something or an instance of being washed.
Example: her hair needs a wash

(clean,cleaning,cleansing,)
----------noun----------
Meaning: The water or air disturbed by a moving boat or aircraft.
Example: the wash of a motorboat

(backwash,backflow,wake,trail,train,path,)
----------noun----------
Meaning: A medicinal or cleansing solution.
Example: citrus-scented body wash

(lotion,salve,application,preparation,rinse,liquid,liniment,embrocation,emulsion,)
----------noun----------
Meaning: A layer of paint or metal spread thinly on a surface.
Example: the walls were covered with a pale lemon wash

(paint,stain,varnish,coat,layer,film,overlay,)
----------noun----------
Meaning: Kitchen slops and other food waste fed to pigs.

(pigswill,hogwash,pigwash,wash,mash,)
"
water,"
----------noun----------
Meaning: A colorless, transparent, odorless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms.
Example: They are dissolved in warm water and the liquid is taken as a drink between meals.

(aqua,)
----------noun----------
Meaning: A stretch or area of water, such as a river, sea, or lake.
Example: the lawns ran down to the water's edge

(sea,ocean,)
----------noun----------
Meaning: Urine.
----------noun----------
Meaning: The amniotic fluid surrounding a fetus in the womb, especially as discharged in a flow shortly before birth.
----------noun----------
Meaning: The quality of transparency and brilliance shown by a diamond or other gem.
----------noun----------
Meaning: Capital stock that represents a book value greater than the true assets of a company.

----------verb----------
Meaning: Pour or sprinkle water over (a plant or area) in order to encourage plant growth.
Example: I went out to water the geraniums

(sprinkle,moisten,dampen,wet,spray,splash,)
----------verb----------
Meaning: (of the eyes) become full of moisture or tears.
Example: Rory blinked, his eyes watering

(moisten,exude water,become wet,leak,)
----------verb----------
Meaning: Dilute or adulterate (a drink, typically an alcoholic one) with water.
Example: staff at the club had been watering down the drinks

(dilute,water down,add water to,thin,thin out,make thin,make thinner,weaken,make weak,make weaker,)
----------verb----------
Meaning: Increase (a company's debt, or nominal capital) by the issue of new shares without a corresponding addition to assets.
"
watermelon,"
----------noun----------
Meaning: The large fruit of a plant of the gourd family, with smooth green skin, red pulp, and watery juice.
----------noun----------
Meaning: The widely cultivated African plant that yields the watermelon.
"
watermelons,"
----------noun----------
Meaning: The large fruit of a plant of the gourd family, with smooth green skin, red pulp, and watery juice.
----------noun----------
Meaning: The African plant which yields watermelons.
"
weaken,"
----------verb----------
Meaning: Make or become weaker in power, resolve, or physical strength.
Example: fault lines had weakened and shattered the rocks

(enfeeble,debilitate,incapacitate,sap one's strength,enervate,tire,exhaust,wear out,)
"
wealth,"
----------noun----------
Meaning: An abundance of valuable possessions or money.
Example: he used his wealth to bribe officials

(affluence,prosperity,opulence,riches,means,substance,luxury,well-being,plenty,deep pockets,)
"
wean,"
"
wear,"
----------verb----------
Meaning: Have on one's body or a part of one's body as clothing, decoration, protection, or for some other purpose.
Example: he was wearing a dark suit

(be dressed in,be clothed in,have on,sport,)
----------verb----------
Meaning: Damage, erode, or destroy by friction or use.
Example: the track has been worn down in part to bare rock

(erode,abrade,scour,scratch,scrape,rasp,rub away,rub down,grind away,fret,waste away,wash away,crumble,crumble away,wear down,)
----------verb----------
Meaning: Pass (a period of time) in some activity.
----------verb----------
Meaning: Tolerate; accept.

(allow,permit,authorize,sanction,condone,indulge,agree to,accede to,approve of,)

----------noun----------
Meaning: The wearing of something or the state of being worn as clothing.
----------noun----------
Meaning: Clothing suitable for a particular purpose or of a particular type.
Example: evening wear

(clothes,dress,clothing,attire,garb,finery,garments,outfits,wardrobe,)
----------noun----------
Meaning: Damage or deterioration sustained from continuous use.
Example: you need to make a deduction for wear and tear on all your belongings

(damage,wear and tear,battering,friction,erosion,attrition,corrosion,abrasion,deterioration,degeneration,)
"
weasel,"
----------noun----------
Meaning: A deceitful or treacherous person.
Example: he was a double-crossing weasel

(scoundrel,wretch,rogue,)

"
weather,"
----------noun----------
Meaning: The state of the atmosphere at a place and time as regards heat, dryness, sunshine, wind, rain, etc.
Example: if the weather's good we can go for a walk

(meteorological conditions,atmospheric conditions,meteorology,climate,)

----------transitive verb----------
Meaning: Wear away or change the appearance or texture of (something) by long exposure to the air.
----------transitive verb----------
Meaning: Come safely through (a storm)
----------transitive verb----------
Meaning: Make (boards or tiles) overlap downward to keep out rain.
----------transitive verb----------
Meaning: Allow (a hawk) to spend a period perched in the open air.
"
wedgie,"
"
weigh,"
----------verb----------
Meaning: Find out how heavy (someone or something) is, typically using scales.
Example: weigh yourself on the day you begin the diet

(measure the weight of,measure how heavy someone is,measure how heavy something is,put someone on the scales,put something on the scales,)
----------verb----------
Meaning: Assess the nature or importance of, especially with a view to a decision or action.
Example: the consequences of the move would need to be very carefully weighed

(consider,contemplate,think about,give thought to,entertain the idea of,deliberate about,turn over in one's mind,mull over,chew over,reflect on,ruminate about,muse on,)
"
weird,"
----------adjective----------
Meaning: Suggesting something supernatural; unearthly.
Example: weird, inhuman sounds

(uncanny,eerie,unnatural,preternatural,supernatural,unearthly,other-worldly,unreal,ghostly,mysterious,mystifying,strange,abnormal,unusual,)


"
welfare,"
----------noun----------
Meaning: The health, happiness, and fortunes of a person or group.
Example: they don't give a damn about the welfare of their families

(well-being,health,good health,happiness,comfort,security,safety,protection,prosperity,profit,good,success,fortune,good fortune,advantage,interest,prosperousness,successfulness,)
"
welter,"

----------noun----------
Meaning: A large number of items in no order; a confused mass.
Example: there's such a welter of conflicting rules

(confusion,jumble,tangle,clutter,mess,hotchpotch,mishmash,flurry,rush,mass,)
"
wench,"
----------noun----------
Meaning: A girl or young woman.

(young woman,young lady,miss,)

"
wend,"
----------verb----------
Meaning: Go in a specified direction, typically slowly or by an indirect route.
Example: they wended their way across the city

(meander,make one's way,wind one's way,find one's way,pick one's way,)
"
whale,"
----------noun----------
Meaning: A very large marine mammal with a streamlined hairless body, a horizontal tail fin, and a blowhole on top of the head for breathing.
Example: Marine mammals include narwhals, beluga whales, walrus, and ringed and bearded seals.

(cetacean,leviathan,)
"
whatsoever,"
----------adverb----------
Meaning: At all (used for emphasis)

----------determiner & pronoun----------
Meaning: Whatever.
"
whereabouts,"
----------adverb----------
Meaning: Where or approximately where.

----------noun----------
Meaning: The place where someone or something is.
Example: his whereabouts remain secret

(location,position,site,place,situation,locality,spot,point,placement,locale,neighbourhood,vicinity,)
"
whereas,"
----------conjunction----------
Meaning: In contrast or comparison with the fact that.
Example: you treat the matter lightly, whereas I myself was never more serious

(whereas,)
"
whereby,"
"
wherein,"
----------adverb----------
Meaning: In which.
----------adverb----------
Meaning: In what place or respect?
"
whether,"
----------conjunction----------
Meaning: Expressing a doubt or choice between alternatives.
Example: he seemed undecided whether to go or stay

(whether,whether or not,)
"
whimsical,"
----------adjective----------
Meaning: Playfully quaint or fanciful, especially in an appealing and amusing way.
Example: a whimsical sense of humor

(fanciful,playful,mischievous,waggish,quaint,fantastic,unusual,curious,droll,)
----------adjective----------
Meaning: Acting or behaving in a capricious manner.
Example: the whimsical arbitrariness of autocracy

(volatile,capricious,temperamental,impulsive,excitable,fickle,changeable,unpredictable,variable,erratic,quicksilver,mercurial,mutable,inconstant,inconsistent,unstable,unsteady,fluctuating,ever-changing,protean,kaleidoscopic,fluid,wavering,vacillating,wayward,)
"
whip,"
----------noun----------
Meaning: A strip of leather or length of cord fastened to a handle, used for flogging or beating a person or for urging on an animal.
Example: I wouldn't be surprised if they walked around their office wearing tight leather and vinyl with whips and riding crops at their sides.

(lash,scourge,thong,strap,belt,)

----------verb----------
Meaning: Beat (a person or animal) with a whip or similar instrument, especially as a punishment or to urge them on.
Example: Lewis whipped the boy twenty times

(flog,scourge,flagellate,lash,birch,switch,tan,strap,belt,cane,thrash,beat,leather,tan someone's hide,whip someone's hide,give someone a hiding,beat the living daylights out of,)
----------verb----------
Meaning: Move fast or suddenly in a specified direction.
Example: he whipped round to face them

(dash,rush,race,run,sprint,bolt,dart,gallop,career,charge,shoot,hurtle,hare,bound,fly,speed,streak,zoom,plunge,dive,whisk,scurry,scuttle,scamper,scramble,)
----------verb----------
Meaning: Beat (cream, eggs, or other food) into a froth.
Example: You can whip melted chocolate like cream, the fat and the lecithin acting as a stabilizer for the foam.

(whisk,beat,mix,stir,)
----------verb----------
Meaning: Steal (something)

(steal,purloin,thieve,take,take for oneself,help oneself to,loot,pilfer,abscond with,run off with,appropriate,abstract,carry off,shoplift,)
"
whoever,"
----------relative pronoun----------
Meaning: The person or people who; any person who.

----------pronoun----------
Meaning: Used for emphasis instead of “who” in questions, typically expressing surprise or confusion.
"
wholehearted,"
----------adjective----------
Meaning: Showing or characterized by complete sincerity and commitment.
Example: you have my wholehearted support

(committed,positive,emphatic,devoted,dedicated,enthusiastic,unshakeable,unflinching,unswerving,constant,staunch,loyal,stalwart,)
"
whom,"
"
widely,"
----------adverb----------
Meaning: Over a large area or range; extensively.
Example: Deborah has traveled widely

(everywhere,all over,all around,in all places,in every place,far and wide,far and near,here,there,and everywhere,extensively,exhaustively,thoroughly,widely,broadly,in every nook and cranny,)
"
widespread,"
----------adjective----------
Meaning: Found or distributed over a large area or number of people.
Example: there was widespread support for the war

(general,extensive,universal,common,global,worldwide,international,omnipresent,ubiquitous,wholesale,all-embracing,all-inclusive,all-round,across the board,far-reaching,predominant,prevalent,rife,broad,blanket,sweeping,rampant,catholic,inescapable,pervading,pervasive,permeating,epidemic,)
"
willow,"
"
wince,"
----------intransitive verb----------
Meaning: Give a slight involuntary grimace or shrinking movement of the body out of or in anticipation of pain or distress.
Example: he winced at the disgust in her voice

(grimace,pull a face,)

----------noun----------
Meaning: A slight grimace or shrinking movement caused by pain or distress.
Example: At the touch of his hand, there was a slight wince of pain.

(grimace,)
"
winding,"
----------noun----------
Meaning: A twisting movement or course.
Example: the windings of the stream

(twist,turn,turning,bend,loop,curve,zigzag,convolution,meander,meandering,)

----------adjective----------
Meaning: Following a twisting or spiral course.
Example: our bedroom was at the top of a winding staircase

(twisting and turning,full of twists and turns,meandering,windy,twisty,bending,curving,looping,zigzag,zigzagging,serpentine,sinuous,snaking,snaky,tortuous,convoluted,)
"
winged,"
"
wipe,"
----------verb----------
Meaning: Clean or dry (something) by rubbing with a cloth, a piece of paper, or one's hand.
Example: Paul wiped his face with a handkerchief

(rub,clean,mop,sponge,swab,)
----------verb----------
Meaning: Remove or eliminate (something) completely.
Example: things have happened to wipe the smile off Kate's face

(obliterate,expunge,erase,blot out,remove,remove all traces of,blank out,)

----------noun----------
Meaning: An act of wiping.
Example: Bert was giving the machine a final wipe over with an oily rag

(rub,clean,mop,sponge,swab,polish,)
"
wish,"
----------verb----------
Meaning: Feel or express a strong desire or hope for something that cannot or probably will not happen.
Example: we wished for peace

(desire,want,hope for,long for,yearn for,crave,hunger for,thirst for,lust after,covet,sigh for,pine for,dream of,)
----------verb----------
Meaning: Want to do something.
Example: they wish to become involved

(want,desire,have an inclination,be inclined,feel inclined,feel like,care,)

----------noun----------
Meaning: A desire or hope for something to happen.
Example: the union has reiterated its wish for an agreement

(desire,longing,hope,yearning,inclination,urge,whim,craving,hunger,thirst,lust,)
"
wit,"
----------noun----------
Meaning: The capacity for inventive thought and quick understanding; keen intelligence.
Example: she does not lack perception or native wit

(intelligence,shrewdness,astuteness,cleverness,canniness,acuteness,acuity,sharpness,sharp-wittedness,sense,good sense,common sense,wisdom,sagacity,judgement,understanding,acumen,discernment,perception,insight,percipience,perspicacity,)
----------noun----------
Meaning: A natural aptitude for using words and ideas in a quick and inventive way to create humour.
Example: his caustic wit cuts through the humbug

(wittiness,humour,funniness,facetiousness,drollery,waggishness,)
"
withal,"

"
withering,"
----------adjective----------
Meaning: Intended to make someone feel mortified or humiliated.
Example: a withering look

(scornful,contemptuous,full of contempt,mocking,sneering,)
----------adjective----------
Meaning: (of heat) intense; scorching.
Example: protective cover to escape withering heat

(intense,extreme,ferocious,fierce,acute,strong,very great,)

----------noun----------
Meaning: The action of becoming dry and shriveled.
"
witty,"
----------adjective----------
Meaning: Showing or characterized by quick and inventive verbal humor.
Example: a witty remark

(humorous,amusing,droll,funny,comic,comical,chucklesome,)
"
woe,"
----------noun----------
Meaning: Great sorrow or distress (often used hyperbolically)
Example: the Everton tale of woe continued

(misery,sorrow,distress,wretchedness,sadness,unhappiness,heartache,heartbreak,despondency,desolation,despair,dejection,depression,gloom,melancholy,)
"
wolf,"

----------transitive verb----------
Meaning: Devour (food) greedily.
Example: he wolfed down his breakfast

(devour greedily,gobble,gobble up,guzzle,gulp down,bolt,cram down,gorge oneself with,)
"
woman,"
----------noun----------
Meaning: An adult female human being.
Example: a drawing of a young woman

(lady,adult female,female,)
"
wonder,"
----------noun----------
Meaning: A feeling of surprise mingled with admiration, caused by something beautiful, unexpected, unfamiliar, or inexplicable.
Example: he had stood in front of it, observing the intricacy of the ironwork with the wonder of a child

(awe,admiration,wonderment,fascination,)

----------intransitive verb----------
Meaning: Desire or be curious to know something.
Example: how many times have I written that, I wonder?

(ponder,ask oneself,think about,meditate on,reflect on,deliberate about,muse on,speculate about,conjecture,)
----------intransitive verb----------
Meaning: Feel admiration and amazement; marvel.
Example: people stood by and wondered at such bravery

(marvel,be amazed,be filled with amazement,be filled with admiration,be astonished,be surprised,be awed,stand in awe,be full of wonder,be lost for words,not believe one's ears,not believe one's eyes,not know what to say,be dumbfounded,gape,goggle,gawk,)
"
wondered,"
----------noun----------
Meaning: A feeling of amazement and admiration, caused by something beautiful, remarkable, or unfamiliar.
Example: he observed the intricacy of the ironwork with the wonder of a child

(awe,admiration,wonderment,fascination,)
----------noun----------
Meaning: A person or thing regarded as very good, remarkable, or effective.
----------noun----------
Meaning: A surprising event or situation.

----------verb----------
Meaning: Desire to know something; feel curious.
Example: how many times have I written that, I wonder?

(ponder,ask oneself,think about,meditate on,reflect on,deliberate about,muse on,speculate about,conjecture,)
----------verb----------
Meaning: Feel doubt.
----------verb----------
Meaning: Feel admiration and amazement; marvel.
Example: people stood by and wondered at such bravery

(marvel,be amazed,be filled with amazement,be filled with admiration,be astonished,be surprised,be awed,stand in awe,be full of wonder,be lost for words,not believe one's ears,not believe one's eyes,not know what to say,be dumbfounded,gape,goggle,gawk,)
"
